record_id,operational_status,model_partition,provenance_badge,event_label,event_class_desc,disaster_or_scenario_id,sector_id,timestamp,state,district,latitude,longitude,source_authority,source_confidence,observation_scenario_type,geographic_group,event_window,rainfall_1h_mm,rainfall_6h_mm,rainfall_24h_mm,rainfall_72h_mm,API_3d_mm,API_7d_mm,API_30d_mm,rainfall_accumulation_3h_mm,rainfall_intensity_3h_mmh,rainfall_acceleration,soil_moisture_ratio,soil_moisture_trend_24h,pore_pressure_kpa,pore_pressure_trend_24h,tilt_deg,tilt_rate_24h,ground_displacement_mm,displacement_velocity_24h_mmd,elevation_m,slope_deg,aspect_deg,curvature,NDVI,NDVI_change,seismic_magnitude,seismic_distance_km,seismic_trigger_score,seismic_recency_hours,historical_landslide_density,static_susceptibility,road_criticality,population_exposure,geotechnical_fos,composite_risk_index_cri
EV-01,ACTIVE_OPERATIONAL_DATASET,TEST,[HISTORICAL],1,FAILURE_EVENT (y=1),SK-2024-NH10-KM48,SK-NH10-KM48,2024-10-04T06:00:00Z,Sikkim,Pakyong,27.33,88.61,GSI Pakyong Field Inspection,HIGH,Documented Landslide Failure,sikkim_teesta_corridor,6h,25.9,74.0,185.0,305.2,244.2,366.2,549.4,50.0,24.7,2.1,0.54,0.16,28.2,12.5,4.1,1.8,48.0,15.0,890.0,42.0,205.0,-0.055,0.48,-0.16,0.0,999.0,0.0,999.0,0.025,0.85,0.8,950.0,0.62,89.0
EV-02,ACTIVE_OPERATIONAL_DATASET,VAL,[HISTORICAL],1,FAILURE_EVENT (y=1),SK-2024-MANGAN,SK-MANGAN-01,2024-06-12T14:00:00Z,Sikkim,Mangan,27.502,88.528,ISRO DMSG / Sikkim SDMA,HIGH,Documented Landslide Failure,sikkim_north_corridor,6h,29.4,84.0,210.0,346.5,277.2,415.8,623.7,56.7,28.0,2.1,0.56,0.16,31.5,12.5,4.8,1.8,54.0,15.0,1250.0,44.5,205.0,-0.055,0.48,-0.16,0.0,999.0,0.0,999.0,0.025,0.85,0.8,950.0,0.55,92.5
EV-03,ACTIVE_OPERATIONAL_DATASET,TRAIN,[HISTORICAL],1,FAILURE_EVENT (y=1),SK-2023-SINGTAM,SK-SINGTAM-01,2023-10-04T01:30:00Z,Sikkim,Gangtok,27.234,88.498,South Lhonak GLOF / GSI Assessment,HIGH,Documented Landslide Failure,sikkim_teesta_corridor,6h,19.6,56.0,140.0,231.0,184.8,277.2,415.8,37.8,18.7,2.1,0.58,0.16,34.0,12.5,3.9,1.8,65.0,15.0,420.0,39.0,205.0,-0.055,0.48,-0.16,0.0,999.0,0.0,999.0,0.025,0.85,0.8,950.0,0.48,94.0
EV-04,ACTIVE_OPERATIONAL_DATASET,TRAIN,[HISTORICAL],1,FAILURE_EVENT (y=1),MN-2022-NONEY,MN-NONEY-01,2022-06-29T23:30:00Z,Manipur,Noney,24.7865,93.6394,GSI Disaster Report GSI-NER-MN-2022-004,VERY_HIGH,Documented Landslide Failure,manipur_tupul_corridor,6h,25.2,72.0,180.0,297.0,237.6,356.4,534.6,48.6,24.0,2.1,0.52,0.16,26.4,12.5,3.85,1.8,42.5,15.0,640.0,41.5,205.0,-0.055,0.48,-0.16,0.0,999.0,0.0,999.0,0.025,0.85,0.8,950.0,0.68,88.5
EV-05,ACTIVE_OPERATIONAL_DATASET,TEST,[HISTORICAL],1,FAILURE_EVENT (y=1),MN-2024-TAMENGLONG,MN-TAMENG-01,2024-07-02T08:00:00Z,Manipur,Tamenglong,24.985,93.49,Manipur SDMA Monsoon Bulletin,MEDIUM,Documented Landslide Failure,manipur_west_corridor,6h,23.1,66.0,165.0,272.2,217.8,326.6,490.0,44.5,22.0,2.1,0.5,0.16,24.0,12.5,3.2,1.8,36.0,15.0,1100.0,38.0,205.0,-0.055,0.48,-0.16,0.0,999.0,0.0,999.0,0.025,0.85,0.8,950.0,0.74,82.0
EV-06,ACTIVE_OPERATIONAL_DATASET,VAL,[HISTORICAL],1,FAILURE_EVENT (y=1),MZ-2024-MELTHUM,MZ-AIZAWL-MELTHUM,2024-05-28T05:30:00Z,Mizoram,Aizawl,23.7271,92.7176,Cyclone Remal GSI Report GSI-NER-MZ-2024-019,VERY_HIGH,Documented Landslide Failure,mizoram_aizawl_basin,6h,28.7,82.0,205.0,338.2,270.6,405.8,608.8,55.4,27.3,2.1,0.55,0.16,29.8,12.5,4.5,1.8,52.0,15.0,920.0,45.0,205.0,-0.055,0.48,-0.16,0.0,999.0,0.0,999.0,0.025,0.85,0.8,950.0,0.58,91.0
EV-07,ACTIVE_OPERATIONAL_DATASET,TRAIN,[HISTORICAL],1,FAILURE_EVENT (y=1),MZ-2023-LUNGLEI,MZ-LUNGLEI-01,2023-08-22T11:00:00Z,Mizoram,Lunglei,22.887,92.74,Mizoram PWD / DDMA,MEDIUM,Documented Landslide Failure,mizoram_south_corridor,6h,21.0,60.0,150.0,247.5,198.0,297.0,445.5,40.5,20.0,2.1,0.48,0.16,22.0,12.5,2.9,1.8,28.0,15.0,720.0,36.5,205.0,-0.055,0.48,-0.16,0.0,999.0,0.0,999.0,0.025,0.85,0.8,950.0,0.81,78.0
EV-08,ACTIVE_OPERATIONAL_DATASET,TRAIN,[HISTORICAL],1,FAILURE_EVENT (y=1),AS-2022-DIMA-HASAO,AS-DIMA-HASAO-01,2022-05-16T09:00:00Z,Assam,Dima Hasao,25.178,93.023,New Haflong Railway Station Breaches GSI Report,VERY_HIGH,Documented Landslide Failure,assam_barak_valley,6h,32.2,92.0,230.0,379.5,303.6,455.4,683.1,62.1,30.7,2.1,0.57,0.16,32.0,12.5,4.7,1.8,58.0,15.0,510.0,40.0,205.0,-0.055,0.48,-0.16,0.0,999.0,0.0,999.0,0.025,0.85,0.8,950.0,0.52,93.0
EV-09,ACTIVE_OPERATIONAL_DATASET,VAL,[HISTORICAL],1,FAILURE_EVENT (y=1),AS-2024-CACHAR,AS-CACHAR-01,2024-06-18T16:00:00Z,Assam,Cachar,24.833,92.778,Assam State Disaster Management Authority (ASDMA),HIGH,Documented Landslide Failure,assam_barak_valley,6h,23.8,68.0,170.0,280.5,224.4,336.6,504.9,45.9,22.7,2.1,0.51,0.16,25.0,12.5,3.4,1.8,35.0,15.0,180.0,35.0,205.0,-0.055,0.48,-0.16,0.0,999.0,0.0,999.0,0.025,0.85,0.8,950.0,0.76,81.0
EV-10,ACTIVE_OPERATIONAL_DATASET,TRAIN,[HISTORICAL],1,FAILURE_EVENT (y=1),ML-2022-MAWSYNRAM,ML-MAWSYNRAM-01,2022-06-17T12:00:00Z,Meghalaya,East Khasi Hills,25.297,91.582,GSI Shillong Plateau Escarpment Survey,VERY_HIGH,Documented Landslide Failure,meghalaya_plateau_corridor,6h,49.0,140.0,350.0,577.5,462.0,693.0,1039.5,94.5,46.7,2.1,0.6,0.16,38.0,12.5,4.9,1.8,62.0,15.0,1400.0,46.0,205.0,-0.055,0.48,-0.16,0.0,999.0,0.0,999.0,0.025,0.85,0.8,950.0,0.45,96.0
