UI FIELD,API ENDPOINT,BACKEND FUNCTION,SOURCE,SOURCE URL,DATASET / FILE,LIVE?,PREDEFINED?,HISTORICAL?,SIMULATED?,DERIVED?,CACHE?,TIMESTAMP,FRESHNESS,PROVENANCE,USED BY PAHAD?,USED IN CRI?,USED IN MAP?
card-kpi-cri,/api/ml/latest-risk,app.get_ml_latest_risk -> backend.risk_engine.run_risk_fusion_pipeline,PAHAD AI Multimodal Fusion Engine,http://127.0.0.1:8080/api/ml/latest-risk,backend/risk_engine.py & data/realtime/realtime_cri_dataset.csv,YES,NO,NO,NO,YES,YES,Realtime evaluation cycle (<15 min),< 15 minutes,[LIVE/HYBRID],YES,YES,YES
card-kpi-fos,/api/ml/latest-risk & /api/pahad/predict-event,engine.pahad_geotech.PahadGeotechEngine.compute_slope_stability,Mohr-Coulomb Limit Equilibrium & van Genuchten SWCC Physics,local_geotech_physics_engine,engine/pahad_geotech.py & models/fos_predictor.pkl,NO,YES,NO,YES,YES,YES,Continuous physics evaluation,< 5 minutes,[SIMULATED],YES,YES,YES
card-kpi-prob,/api/pahad/predict-event,app.pahad_predict_event -> engine.pahad_event_model.predict_event_probability,PAHAD Calibrated GBDT Event Classifier (Platt Sigmoid),http://127.0.0.1:8080/api/pahad/predict-event,models/pahad_event_model.pkl & models/pahad_event_model.metadata.json,NO,YES,YES,NO,YES,YES,Static model artifact (vtest-v1.0),"Static (17 events, 36 windows, N=8 test)",[HISTORICAL / MODEL],YES,YES,YES
card-kpi-conf,/api/pahad/predict-event,app.pahad_predict_event,PAHAD Probability Margin & Feature Completeness Auditor,http://127.0.0.1:8080/api/pahad/predict-event,engine/pahad_event_model.py,NO,NO,NO,NO,YES,NO,Inference time,Realtime calculation,[DERIVED],YES,NO,NO
card-zone-title,/api/ml/latest-risk,app.get_ml_latest_risk,PARVAT NETRA Corridor GeoRegistry,http://127.0.0.1:8080/api/ml/latest-risk,engine/corridor_registry.py,NO,YES,NO,NO,NO,NO,Static reference,Static registry,[PREDEFINED],YES,NO,YES
card-zone-sub,/api/ml/latest-risk,app.get_ml_latest_risk,Administrative Boundaries Registry (MDoNER/Survey of India),http://127.0.0.1:8080/api/ml/latest-risk,engine/corridor_registry.py,NO,YES,NO,NO,NO,NO,Static reference,Static registry,[PREDEFINED],YES,NO,YES
ev-rain,/api/ml/latest-risk & /api/weather/current,services.weather_service.fetch_latest_weather -> Mandal-Sarkar I-D Threshold,Open-Meteo Global Forecasting / IMD AWS API,https://api.open-meteo.com/v1/forecast,services/weather_service.py & data/cache/weather/,YES,NO,NO,NO,YES,YES,Hourly atmospheric forecast & actuals,< 60 minutes,[LIVE],YES,YES,YES
ev-susc,/api/ml/latest-risk & /api/geospatial/terrain,services.dem_service.get_terrain_profile,ISRO CartoDEM 30m Digital Elevation Model,https://bhuvan-app1.nrsc.gov.in/bhuvan2d/bhuvan/wms,services/dem_service.py & engine/terrain_analysis.py,NO,YES,NO,NO,YES,YES,CartoDEM 30m base elevation,Static geomorphology,[MODELLED],YES,YES,YES
ev-insar,/api/ml/latest-risk & /api/insar/points,services.satellite_service.get_insar_deformation,Copernicus Sentinel-1 Persistent Scatterer InSAR & NISAR,https://dataspace.copernicus.eu/,services/satellite_service.py & services/insar_service.py,NO,NO,YES,NO,YES,YES,12-day orbital repeat cycle,Monthly interferogram,[HISTORICAL/PROCESSED],YES,YES,YES
ev-vwc,/api/ml/latest-risk & /api/edge/readings,services.telemetry_contract.get_sensor_reading,In-Situ Time-Domain Reflectometry (TDR) Soil Moisture Sensor,http://127.0.0.1:8080/api/edge/readings,data/cache/iot_telemetry/PIEZO-NH10-E2E.json,NO,NO,NO,YES,YES,YES,Simulated 5-minute telemetry cycle,< 5 minutes,[SIMULATED],YES,YES,YES
