ROW_INDEX,UI_FIELD,API_ENDPOINT,SOURCE_NAME,DATA_CLASS,LIVE_CONTRIBUTION,USED_IN_CRI,USED_IN_PAHAD,USED_IN_MAP,USER_VISIBLE,RUNTIME_ORIGIN_VERDICT
1,card-kpi-cri,/api/ml/latest-risk,PAHAD AI Multimodal Fusion Engine,DERIVED,PARTIAL,YES,YES,YES,YES,"DERIVED: Realtime fusion calculation of S (Static DEM/Lithology), P (Live Open-Meteo), A (Simulated VWC / Cached InSAR), V (Static Corridor Registry) via backend/risk_engine.py or engine/pahad_models.py."
2,card-kpi-fos,/api/ml/latest-risk & /api/pahad/predict-event,Mohr-Coulomb Limit Equilibrium & van Genuchten SWCC Physics,DERIVED,PARTIAL,YES,YES,YES,YES,"DERIVED: Analytical limit-equilibrium equation evaluated dynamically using static cohesion/friction, static slope, coupled with live Green-Ampt wetting front and simulated matric suction."
3,card-kpi-prob,/api/pahad/predict-event,PAHAD Calibrated GBDT Event Classifier (Platt Sigmoid),MODEL_PRETRAINED,PARTIAL,YES,YES,YES,YES,MODEL_PRETRAINED: Scikit-learn GBDT serialized weights in models/pahad_event_model.pkl (trained on 17 historical NER events) evaluated on current feature vector.
4,card-kpi-conf,/api/pahad/predict-event,PAHAD Probability Margin & Feature Completeness Auditor,DERIVED,ZERO,NO,YES,NO,YES,DERIVED: Realtime algorithmic audit measuring prediction margin entropy and feature vector completeness.
5,card-zone-title,/api/ml/latest-risk,PARVAT NETRA Corridor GeoRegistry,STATIC_PREDEFINED,ZERO,NO,YES,YES,YES,STATIC_PREDEFINED: Strategic corridor catalog defined in engine/corridor_registry.py and static_terrain DB table.
6,card-zone-sub,/api/ml/latest-risk,Administrative Boundaries Registry (MDoNER/Survey of India),STATIC_PREDEFINED,ZERO,NO,YES,YES,YES,STATIC_PREDEFINED: Administrative district and state lookup catalog.
7,ev-rain,/api/ml/latest-risk & /api/weather/current,Open-Meteo Global Forecasting / IMD AWS API,LIVE_EXTERNAL,HIGH,YES,YES,YES,YES,LIVE_EXTERNAL: Live hourly HTTP fetch from https://api.open-meteo.com/v1/forecast (cached locally with 900s TTL in data/cache/weather/).
8,ev-susc,/api/ml/latest-risk & /api/geospatial/terrain,ISRO CartoDEM 30m Digital Elevation Model,STATIC_PREDEFINED,ZERO,YES,YES,YES,YES,STATIC_PREDEFINED: 30-meter elevation raster array compiled from ISRO Bhuvan CartoDEM / NASA SRTM.
9,ev-insar,/api/ml/latest-risk & /api/insar/points,Copernicus Sentinel-1 Persistent Scatterer InSAR & NISAR,HISTORICAL,ZERO,YES,YES,YES,YES,HISTORICAL: Multi-temporal SAR interferograms (2022-2024 baseline) processed offline into line-of-sight velocities.
10,ev-vwc,/api/ml/latest-risk & /api/edge/readings,In-Situ Time-Domain Reflectometry (TDR) Soil Moisture Sensor,SIMULATED,ZERO,YES,YES,YES,YES,SIMULATED: Hydrostatic unsaturated soil mechanics simulation (van Genuchten SWCC) served via services/telemetry_contract.py.
