TIMESTAMP,UI_FIELD,API_ENDPOINT,BACKEND_FUNCTION,SOURCE,PROVIDER,SOURCE_URL,VALUE,UNIT,SOURCE_TIMESTAMP,INGESTED_AT,STORED_AT,SERVED_AT,FRESHNESS_SECONDS,CACHE_STATUS,DATA_CLASS,LIVE_CONTRIBUTION,FALLBACK_PROVIDER,USED_IN_CRI,USED_IN_PAHAD,USED_IN_MAP,RUNTIME_EVIDENCE,CONFIDENCE,NOTES
2026-09-16T17:30:00Z,card-kpi-cri,/api/ml/latest-risk,app.py:get_ml_latest_risk() -> backend/risk_engine.py:evaluate_5m_risk(),Multimodal Physical & Dynamic Telemetry Fusion,PAHAD Multimodal Risk Engine,app.py:2385-2450; backend/risk_engine.py:165-240,73.16,Composite Risk Index (0-100),2026-09-16T17:15:00Z,2026-09-16T17:15:00Z,PostgreSQL ml_risk_scores table / in-memory fallback dict,2026-09-16T17:30:00Z,900,DYNAMIC_CALCULATION,DERIVED,PARTIAL,engine/pahad_models.py:evaluate_pahad_fused_risk / app.py fallback dict,YES,YES,YES,"app.py lines 2385-2450 execute SQL query against ml_risk_scores table. When DB is offline, returns fallback dictionary sector CRI=82.4 or gangtok CRI=73.16.",HIGH,"Core composite index. Derived from live Open-Meteo rainfall, static CartoDEM slope, GSI lithology, simulated VWC, and historical InSAR."
2026-09-16T17:30:00Z,card-kpi-fos,/api/ml/latest-risk & /api/pahad/predict-event,backend/risk_engine.py:calculate_factor_of_safety(),Infinite Slope Mohr-Coulomb Limit Equilibrium Mechanics,Geotechnical Physics Agent / Mohr-Coulomb Formulation,backend/risk_engine.py:105-160,0.745,Factor of Safety Ratio (FS),2026-09-16T17:15:00Z,2026-09-16T17:15:00Z,Computed dynamically at request evaluation,2026-09-16T17:30:00Z,0,DYNAMIC_CALCULATION,DERIVED,PARTIAL,engine/pahad_models.py:estimate_fos(),YES,YES,YES,"backend/risk_engine.py lines 112-145 execute analytical limit equilibrium formula coupling Green-Ampt wetting front with static c', phi', and beta.",HIGH,Physical stability baseline. FoS < 1.0 represents imminent limit state failure.
2026-09-16T17:30:00Z,card-kpi-prob,/api/pahad/predict-event,engine/pahad_event_model.py:predict_event_probability(),Historical NER Landslide Inventory (17 Positive Events),PAHAD Calibrated GBDT Event Classifier,models/pahad_event_model.pkl,0.706,Probability (0.00-1.00),2026-09-16T14:14:00Z,Offline Training (2026-09-16),models/pahad_event_model.pkl & models/pahad_event_model.metadata.json,2026-09-16T17:30:00Z,11760,MODEL_FILE,MODEL_PRETRAINED,PARTIAL,engine/pahad_event_model.py heuristic logistic fallback,YES,YES,YES,"engine/pahad_event_model.py loads models/pahad_event_model.pkl, extracts 11 features from feature vector, applies Platt sigmoid calibration.",LIMITED,Status is TRAINED_LIMITED_DATA. N=17 documented historical landslides. Brier score 0.0824.
2026-09-16T17:30:00Z,card-kpi-conf,/api/pahad/predict-event,engine/pahad_event_model.py:audit_prediction_confidence(),Feature Completeness & Prediction Margin Entropy Auditor,PAHAD Model Quality Subsystem,engine/pahad_event_model.py:280-320,0.85,Confidence Score (0.00-1.00),2026-09-16T17:30:00Z,2026-09-16T17:30:00Z,Computed on demand,2026-09-16T17:30:00Z,0,DYNAMIC_CALCULATION,DERIVED,ZERO,Default baseline confidence 0.70,NO,YES,NO,engine/pahad_event_model.py calculates confidence as a function of feature missingness penalty and probability margin distance from 0.50.,HIGH,Meta-metric measuring input vector data quality and model certainty.
2026-09-16T17:30:00Z,card-zone-title,/api/ml/latest-risk,app.py:get_ml_latest_risk(),Strategic Highway Corridor Registry,PARVAT NETRA Corridor GeoRegistry,engine/corridor_registry.py,NH-10 Sevoke-Gangtok Corridor,Text,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,engine/corridor_registry.py & static_terrain DB table,2026-09-16T17:30:00Z,Static,STATIC_FILE,STATIC_PREDEFINED,ZERO,Hardcoded sector name fallback,NO,YES,YES,app.py returns region_name field from DB query or fallback array.,HIGH,Identifies the target lifeline highway corridor.
2026-09-16T17:30:00Z,card-zone-sub,/api/ml/latest-risk,app.py:get_ml_latest_risk(),Survey of India Administrative Boundary Catalog,Survey of India / MDoNER,engine/corridor_registry.py,East Sikkim / Kalimpong District (BRO Km 48.0),Text,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,engine/corridor_registry.py,2026-09-16T17:30:00Z,Static,STATIC_FILE,STATIC_PREDEFINED,ZERO,None,NO,YES,YES,Mapped from sector ID in app.py.,HIGH,Administrative boundary reference.
2026-09-16T17:30:00Z,ev-rain,/api/ml/latest-risk & /api/weather/current,services/weather_service.py:WeatherService.get_weather(),Open-Meteo Global Numerical Weather Prediction Model,Open-Meteo REST API,https://api.open-meteo.com/v1/forecast,68.4,mm (24h Accumulated Rainfall),2026-09-16T17:00:00Z,2026-09-16T17:15:00Z,Disk Cache: data/cache/weather/openmeteo_27.33_88.61.json,2026-09-16T17:30:00Z,900,REALTIME_CACHED,LIVE_EXTERNAL,HIGH,IMD Historical Monsoon Average (services/weather_service.py fallback),YES,YES,YES,services/weather_service.py line 45-80 makes HTTP GET to https://api.open-meteo.com/v1/forecast. Logs show 'Cached weather hit' with 900s TTL.,HIGH,"Primary dynamic triggering signal. Fetches live hourly rainfall, temperature, and wind."
2026-09-16T17:30:00Z,ev-susc,/api/ml/latest-risk & /api/geospatial/terrain,app.py:get_terrain_elevation() -> engine/pahad_inputs.py,ISRO Bhuvan CartoDEM 30m Point Cloud & NASA SRTM,ISRO National Remote Sensing Centre (NRSC),static_terrain DB table / static/data/cartodem_sikkim_clip.tif,41.5,Degrees Slope Angle (°),2023-01-01T00:00:00Z,2026-01-01T00:00:00Z,PostgreSQL static_terrain table & GeoTIFF,2026-09-16T17:30:00Z,Static,STATIC_FILE,STATIC_PREDEFINED,ZERO,Sector registry default slope (38.0°),YES,YES,YES,app.py queries static_terrain table for slope_deg and elevation_m.,HIGH,"Topographic baseline for slope angle, aspect, and curvature."
2026-09-16T17:30:00Z,ev-insar,/api/ml/latest-risk & /api/insar/points,app.py:get_insar_points() -> engine/pahad_inputs.py,Copernicus Sentinel-1 A/B C-band SAR Interferometry,ESA Copernicus Open Access Hub & InSAR Processing Pipeline,data/cache/insar/points_nh10.json,-42.3,mm/year (Line-of-Sight Ground Displacement),2024-11-30T00:00:00Z,2025-01-15T00:00:00Z,data/cache/insar/points_nh10.json & PostgreSQL insar_displacements,2026-09-16T17:30:00Z,Archival,STATIC_FILE,HISTORICAL,ZERO,Zero deformation default (0.0 mm/yr),YES,YES,YES,app.py loads data/cache/insar/points_nh10.json returning persistent scatterer velocities.,HIGH,Captures multi-year creep velocities along highway slopes.
2026-09-16T17:30:00Z,ev-vwc,/api/ml/latest-risk & /api/edge/readings,services/telemetry_contract.py:generate_synthetic_telemetry(),Hydrostatic Unsaturated Soil Mechanics (van Genuchten SWCC),In-Situ Soil Moisture Sensor Simulator,services/telemetry_contract.py:80-140,0.38,m³/m³ (Volumetric Water Content),2026-09-16T17:30:00Z,2026-09-16T17:30:00Z,In-memory simulation state,2026-09-16T17:30:00Z,0,SIMULATED_ON_DEMAND,SIMULATED,ZERO,Soil water retention curve default (0.28 m³/m³),YES,YES,YES,services/telemetry_contract.py computes VWC using van Genuchten water retention equation driven by rainfall infiltration.,HIGH,Mathematical simulation of in-situ TDR probe readings. Hardware masts tested in lab but not physically deployed on hillside.
