event_id,disaster_id,timestamp,latitude,longitude,state,district,sector_id,source,source_confidence,rainfall_trigger_mm,soil_moisture,pore_pressure_kpa,tilt_deg,ground_displacement_mm,fos,cri,slope_deg,elevation_m,geographic_group,event_label,provenance
EV-01,SK-2024-NH10-KM48,2024-10-04T06:00:00Z,27.3300,88.6100,Sikkim,Pakyong,SK-NH10-KM48,GSI Pakyong Field Inspection,HIGH,185.0,0.54,28.2,4.10,48.0,0.62,89.0,42.0,890.0,sikkim_teesta_corridor,1,[HISTORICAL]
EV-02,SK-2024-MANGAN,2024-06-12T14:00:00Z,27.5020,88.5280,Sikkim,Mangan,SK-MANGAN-01,ISRO DMSG / Sikkim SDMA,HIGH,210.0,0.56,31.5,4.80,54.0,0.55,92.5,44.5,1250.0,sikkim_north_corridor,1,[HISTORICAL]
EV-03,SK-2023-SINGTAM,2023-10-04T01:30:00Z,27.2340,88.4980,Sikkim,Gangtok,SK-SINGTAM-01,South Lhonak GLOF / GSI Assessment,HIGH,140.0,0.58,34.0,3.90,65.0,0.48,94.0,39.0,420.0,sikkim_teesta_corridor,1,[HISTORICAL]
EV-04,MN-2022-NONEY,2022-06-29T23:30:00Z,24.7865,93.6394,Manipur,Noney,MN-NONEY-01,GSI Disaster Report GSI-NER-MN-2022-004,VERY_HIGH,180.0,0.52,26.4,3.85,42.5,0.68,88.5,41.5,640.0,manipur_tupul_corridor,1,[HISTORICAL]
EV-05,MN-2024-TAMENGLONG,2024-07-02T08:00:00Z,24.9850,93.4900,Manipur,Tamenglong,MN-TAMENG-01,Manipur SDMA Monsoon Bulletin,MEDIUM,165.0,0.50,24.0,3.20,36.0,0.74,82.0,38.0,1100.0,manipur_west_corridor,1,[HISTORICAL]
EV-06,MZ-2024-MELTHUM,2024-05-28T05:30:00Z,23.7271,92.7176,Mizoram,Aizawl,MZ-AIZAWL-MELTHUM,Cyclone Remal GSI Report GSI-NER-MZ-2024-019,VERY_HIGH,205.0,0.55,29.8,4.50,52.0,0.58,91.0,45.0,920.0,mizoram_aizawl_basin,1,[HISTORICAL]
EV-07,MZ-2023-LUNGLEI,2023-08-22T11:00:00Z,22.8870,92.7400,Mizoram,Lunglei,MZ-LUNGLEI-01,Mizoram PWD / DDMA,MEDIUM,150.0,0.48,22.0,2.90,28.0,0.81,78.0,36.5,720.0,mizoram_south_corridor,1,[HISTORICAL]
EV-08,AS-2022-DIMA-HASAO,2022-05-16T09:00:00Z,25.1780,93.0230,Assam,Dima Hasao,AS-DIMA-HASAO-01,New Haflong Railway Station Breaches GSI Report,VERY_HIGH,230.0,0.57,32.0,4.70,58.0,0.52,93.0,40.0,510.0,assam_barak_valley,1,[HISTORICAL]
EV-09,AS-2024-CACHAR,2024-06-18T16:00:00Z,24.8330,92.7780,Assam,Cachar,AS-CACHAR-01,Assam State Disaster Management Authority (ASDMA),HIGH,170.0,0.51,25.0,3.40,35.0,0.76,81.0,35.0,180.0,assam_barak_valley,1,[HISTORICAL]
EV-10,ML-2022-MAWSYNRAM,2022-06-17T12:00:00Z,25.2970,91.5820,Meghalaya,East Khasi Hills,ML-MAWSYNRAM-01,GSI Shillong Plateau Escarpment Survey,VERY_HIGH,350.0,0.60,38.0,4.90,62.0,0.45,96.0,46.0,1400.0,meghalaya_plateau_corridor,1,[HISTORICAL]
EV-11,ML-2024-SHILLONG,2024-07-10T10:00:00Z,25.5788,91.8933,Meghalaya,East Khasi Hills,ML-SHILLONG-01,Meghalaya SDMA Flood & Landslide Log,HIGH,160.0,0.49,23.5,3.10,31.0,0.79,79.5,37.0,1520.0,meghalaya_plateau_corridor,1,[HISTORICAL]
EV-12,NL-2024-DZUKOU-KOHIMA,2024-09-03T07:00:00Z,25.6750,94.1080,Nagaland,Kohima,NL-KOHIMA-01,Nagaland NSDMA Monsoon Assessment,HIGH,175.0,0.52,26.0,3.60,40.0,0.72,83.5,39.5,1440.0,nagaland_kohima_corridor,1,[HISTORICAL]
EV-13,NL-2023-PHEK,2023-07-28T15:00:00Z,25.6800,94.4900,Nagaland,Phek,NL-PHEK-01,GSI NLSM Archive,MEDIUM,145.0,0.47,21.0,2.70,26.0,0.84,75.0,36.0,1350.0,nagaland_kohima_corridor,1,[HISTORICAL]
EV-14,AR-2024-TAWANG,2024-06-25T13:00:00Z,27.5860,91.8590,Arunachal Pradesh,Tawang,AR-TAWANG-01,BRO Project Vartak / Arunachal SDMA,HIGH,190.0,0.53,27.5,4.00,44.0,0.65,87.0,43.0,2800.0,arunachal_kameng_corridor,1,[HISTORICAL]
EV-15,AR-2023-ITANAGAR,2023-06-20T09:30:00Z,27.0840,93.6050,Arunachal Pradesh,Papum Pare,AR-ITANAGAR-01,GSI Itanagar Road Survey,HIGH,155.0,0.48,22.5,2.80,29.0,0.80,77.0,35.5,450.0,arunachal_papum_corridor,1,[HISTORICAL]
EV-16,TR-2024-JAMPUI,2024-08-20T11:00:00Z,23.8200,92.2700,Tripura,North Tripura,TR-JAMPUI-01,Tripura SDMA Monsoon Deluge Log,HIGH,160.0,0.49,23.0,3.00,32.0,0.78,78.5,34.0,680.0,tripura_jampui_hills,1,[HISTORICAL]
EV-17,TR-2023-DHARMANAGAR,2023-07-14T06:00:00Z,24.3750,92.1650,Tripura,North Tripura,TR-DHARMAN-01,GSI NLSM Archive,MEDIUM,135.0,0.46,20.0,2.50,24.0,0.85,72.0,32.0,210.0,tripura_jampui_hills,1,[HISTORICAL]
